customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score_Total,Customer_Segment
00053a61a98854899e70ed204dd4bafe,183,2,382.0,3,5,5,355,13,Champions
0006fdc98a402fceb4eb0ee528f6a8d4,408,1,13.9,1,1,1,111,3,Lost
00082cbe03e478190aadbea78542e933,283,1,79.0,2,1,3,213,6,At Risk
00090324bbad0e9342388303bb71ba0a,158,1,49.95,4,1,2,412,7,Potential
000d460961d6dbfa3ec6c9f5805769e1,234,1,28.9,3,1,1,311,5,At Risk
000ec5bff359e1c0ad76a81a45cb598f,9,1,14.96,5,1,1,511,7,Potential
000ed48ceeb6f4bf8ad021a10a3c7b43,101,1,12.88,4,1,1,411,6,At Risk
0010a452c6d13139e50b57f19f52e04e,415,1,299.0,1,1,5,115,7,Potential
0010fb34b966d44409382af9e8fd5b77,177,1,49.95,4,1,2,412,7,Potential
00115fc7123b5310cf6d3a3aa932699e,585,1,59.99,1,1,2,112,4,At Risk
0011857aff0e5871ce5eb429f21cdaf5,428,1,174.33,1,1,4,114,6,At Risk
0014a5a58da615f7b01a4f5e194bf5ea,223,1,88.0,3,1,3,313,7,Potential
00191a9719ef48ebb5860b130347bf33,498,1,47.9,1,1,2,112,4,At Risk
001926cef41060fae572e2e7b30bd2a4,378,2,48.79,2,5,2,252,9,Potential
001928b561575b2821c92254a2327d06,5,2,136.89000000000001,5,5,4,554,14,Champions
00196c4c9a3af7dd2ad10eade69c926f,33,1,22.32,5,1,1,511,7,Potential
00196fdb2bf9edfc35e88ebfbcf8d781,188,1,12.9,3,1,1,311,5,At Risk
0019e8c501c85848ac0966d45226fa1d,121,1,159.99,4,1,4,414,9,Potential
001a34eb30ecb8e3aacb07c475ca4dd1,49,1,151.9,5,1,4,514,10,Loyal
001a3a8e11d76c9a366c31a4aa2cc529,101,1,9.0,4,1,1,411,6,At Risk
001ae5a1788703d64536c30362503e49,265,1,89.99,3,1,3,313,7,Potential
002043098f10ba39a4600b6c52fbfe3c,521,1,176.99,1,1,4,114,6,At Risk
002311514717ca8b65b09a26cdf7b91a,64,1,116.25,5,1,4,514,10,Loyal
0027324a96d26a2bc7d69262f83c8403,158,1,37.9,4,1,1,411,6,At Risk
0028a7d8db7b0247652509358ad8d755,259,1,274.0,3,1,5,315,9,Potential
0028cfeb9dfcd3628a56d5b6400deef5,235,1,95.9,3,1,3,313,7,Potential
002ae492472e45ad6ebeb7a625409392,325,2,103.98,2,5,3,253,10,Loyal
002b4cd83fabaffaa475f78ea5ef3e08,575,1,49.9,1,1,2,112,4,At Risk
002bdeb33da5b1b3ce8b9c822f749c82,267,1,23.99,3,1,1,311,5,At Risk
002cdf87d4c03f08f7eb4551a923affc,302,1,196.99,2,1,5,215,8,Potential
002ed12115742033f015cb3c269ccf68,212,1,97.9,3,1,3,313,7,Potential
002feefec5af0a3b26ee7839c66d205e,305,1,59.9,2,1,2,212,5,At Risk
003035f5ec76f2220098377482de93c9,366,1,49.99,2,1,2,212,5,At Risk
003162bf0351f47a1a247992b8b9b42d,46,1,514.9,5,1,5,515,11,Loyal
0032c76b20340da25249092a268ce66c,693,1,128.9,1,1,4,114,6,At Risk
0032ca69771a7758ce643258bb9e4ac7,44,1,45.0,5,1,2,512,8,Potential
00344274804f3b8003de1b0562ae01df,52,1,188.0,5,1,5,515,11,Loyal
0034c76b7e6a17d738375b99afc2f01e,114,1,26.0,4,1,1,411,6,At Risk
0036a074f98b80c4f1fc33dbbcf9c552,475,1,16.99,1,1,1,111,3,Lost
0036b4a3d09ad551a5188c2e374da402,385,1,148.0,1,1,4,114,6,At Risk
0037aa56b017c105c3a9d47af71fff98,215,1,425.0,3,1,5,315,9,Potential
003a5571a07dcf09bf117d13d2980ba3,36,1,149.9,5,1,4,514,10,Loyal
003a7a8eb096ed3cbf713d2def1ca701,15,1,99.99,5,1,3,513,9,Potential
003ac9408252444b489b1bfc013f5f8c,166,1,18.75,4,1,1,411,6,At Risk
003c457932a554e4df13834237b1ed00,237,1,129.9,3,1,4,314,8,Potential
003d56767e53e08671de00da3fba8d40,272,1,157.0,2,1,4,214,7,Potential
003f4901fdb60ae9c1e2538b84c208e1,283,1,148.0,2,1,4,214,7,Potential
003fb95e849e71e732629d94bb92762f,31,1,57.99,5,1,2,512,8,Potential
004177f7bf62929186b32c7fdaa6157b,314,2,393.98,2,5,5,255,12,Loyal
004288347e5e88a27ded2bb23747066c,228,2,317.89,3,5,5,355,13,Champions
0042dcca0ae57aaec6e808edc31a2d48,271,1,69.8,2,1,3,213,6,At Risk
0042dfa8925d6eb23e471ec350454f04,35,1,49.9,5,1,2,512,8,Potential
0043d65f8039b4a4d43bc7b0f450ac2c,497,1,49.9,1,1,2,112,4,At Risk
00446a03d7a34d191507c9e42870d0a5,541,1,109.9,1,1,4,114,6,At Risk
004493e0b0a37317d25665d340c0677d,84,1,64.99,5,1,2,512,8,Potential
0047f3e16441284d757a8963344f6c59,367,1,60.0,2,1,2,212,5,At Risk
0049ec2d7a5818d0e4b3f4735cec2458,42,1,25.9,5,1,1,511,7,Potential
004b45ec5c64187465168251cd1c9c2f,95,1,27.0,4,1,1,411,6,At Risk
004b9b1634b7becda8eec4e96bced882,25,1,134.99,5,1,4,514,10,Loyal
004d17fa2cb102a7c4817f040c884e59,198,1,32.0,3,1,1,311,5,At Risk
004ed862ea4e55f18868d3d782d10879,388,1,94.9,1,1,3,113,5,At Risk
00504b68faa074d0f40adcb4f7727f71,18,2,152.0,5,5,4,554,14,Champions
00522457bba00bba576a34fd9b4808fd,516,1,103.97,1,1,3,113,5,At Risk
00539155ce68fbe677934aebdb17e09b,123,1,48.99,4,1,2,412,7,Potential
0055b522bc89cbfbf376d8b59a628470,544,1,328.0,1,1,5,115,7,Potential
0055bbb9c95f6acb8db89d1f6c316407,197,1,68.0,3,1,2,312,6,At Risk
